Name,Value,Weight
Product_145,999,12
Product_79,776,20
Product_304,1000,18
Product_752,813,7
Product_983,696,12
Product_369,408,19
Product_836,809,19
Product_525,425,19
Product_743,512,7
Product_566,883,4
Product_937,187,6
Product_471,359,11
Product_805,892,6
Product_602,671,18
Product_905,934,7
Product_143,455,5
Product_134,954,12
Product_699,200,8
Product_627,629,6
Product_322,452,1
Product_141,481,2
Product_454,130,19
Product_733,242,12
Product_798,495,9
Product_748,592,9
Product_93,476,1
Product_647,545,9
Product_861,686,2
Product_801,676,14
Product_691,433,17
Product_103,815,1
Product_490,124,1
Product_916,537,3
Product_546,972,9
Product_284,534,11
Product_356,207,9
Product_427,949,8
Product_541,300,5
Product_693,888,19
Product_212,350,17
Product_380,165,2
Product_833,880,7
Product_163,992,12
Product_976,822,12
Product_155,106,19
Product_538,120,15
Product_788,184,1
Product_860,850,14
Product_310,788,2
Product_850,951,6
Product_867,273,17
Product_941,386,13
Product_339,271,9
Product_846,929,20
Product_236,823,20
Product_317,735,14
Product_214,599,19
Product_963,962,1
Product_819,293,3
Product_58,983,17
Product_625,347,8
Product_690,163,6
Product_223,824,7
Product_47,575,4
Product_544,229,16
Product_457,720,4
Product_924,206,7
Product_306,685,3
Product_792,477,19
Product_881,433,6
Product_19,490,1
Product_808,400,5
Product_136,728,8
Product_921,220,1
Product_847,434,17
Product_410,998,18
Product_812,276,12
Product_995,812,11
Product_696,468,15
Product_59,835,11
Product_281,538,1
Product_617,992,6
Product_492,342,11
Product_686,900,12
Product_862,162,12
Product_724,963,11
Product_874,575,18
Product_1000,726,19
Product_607,207,5
Product_973,686,9
Product_407,180,13
Product_56,354,14
Product_728,627,11
Product_43,940,7
Product_48,329,8
Product_795,915,14
Product_202,541,20
Product_144,704,12
Product_858,967,1
Product_789,719,13
Product_695,241,13
Product_620,118,14
Product_972,262,20
Product_54,203,3
Product_468,802,16
Product_894,605,7
Product_502,592,17
Product_705,541,1
Product_52,359,16
Product_401,245,14
Product_414,258,19
Product_762,787,7
Product_472,136,18
Product_954,754,1
Product_187,837,19
Product_599,653,2
Product_637,450,8
Product_919,379,11
Product_63,388,14
Product_118,762,3
Product_285,289,10
Product_381,774,2
Product_802,885,8
Product_817,859,16
Product_254,816,9
Product_851,179,4
Product_309,131,16
Product_363,547,1
Product_459,525,4
Product_140,461,9
Product_500,241,5
Product_611,401,10
Product_524,776,9
Product_531,334,20
Product_17,969,6
Product_679,1000,4
Product_557,642,6
Product_3,343,19
Product_704,116,17
Product_232,737,14
Product_154,305,6
Product_934,957,17
Product_594,370,6
Product_639,477,19
Product_910,481,14
Product_55,267,17
Product_408,757,12
Product_116,526,6
Product_429,953,1
Product_884,705,16
Product_96,526,2
Product_651,493,14
Product_793,673,15
Product_148,659,2
Product_255,974,15
Product_685,618,8
Product_923,594,4
Product_735,703,14
Product_485,565,20
Product_678,276,14
Product_301,976,11
Product_238,962,8
Product_683,365,4
Product_643,310,14
Product_512,772,17
Product_357,892,2
Product_755,791,14
Product_352,479,2
Product_503,923,1
Product_636,299,13
Product_172,284,4
Product_9,410,15
Product_672,287,5
Product_351,523,9
Product_39,616,5
Product_342,843,14
Product_896,376,14
Product_442,766,1
Product_224,726,17
Product_186,138,20
Product_274,645,12
Product_843,118,5
Product_711,478,12
Product_986,911,19
Product_38,611,1
Product_161,974,20
Product_170,296,5
Product_466,568,7
Product_475,136,17
Product_570,929,17
Product_595,111,7
Product_601,532,15
Product_10,503,6
Product_807,488,5
Product_994,391,5
Product_598,708,6
Product_405,503,12
Product_293,788,1
Product_300,925,3
Product_250,441,5
Product_275,723,9
Product_928,497,14
Product_971,525,7
Product_887,296,4
Product_220,554,6
Product_20,928,2
Product_344,448,10
Product_655,802,9
Product_504,623,15
Product_165,377,10
Product_526,176,20
Product_950,314,1
Product_587,577,12
Product_870,151,8
Product_985,617,16
Product_473,718,19
Product_64,893,3
Product_898,428,18
Product_949,774,3
Product_926,818,2
Product_649,961,7
Product_533,892,15
Product_294,348,20
Product_6,275,8
Product_74,243,7
Product_722,583,13
Product_95,675,3
Product_323,132,18
Product_673,567,1
Product_998,764,19
Product_219,742,17
Product_495,875,10
Product_112,465,16
Product_863,162,5
Product_706,456,15
Product_567,407,6
Product_121,107,16
Product_398,360,15
Product_208,367,6
Product_312,667,19
Product_89,709,1
Product_692,177,6
Product_558,301,16
Product_160,224,3
Product_350,245,14
Product_469,298,4
Product_648,876,20
Product_725,672,6
Product_113,489,18
Product_713,995,17
Product_217,302,5
Product_811,828,2
Product_645,903,16
Product_412,355,12
Product_245,528,12
Product_239,411,10
Product_42,366,14
Product_899,254,3
Product_619,498,18
Product_129,288,12
Product_853,486,8
Product_872,857,6
Product_982,458,19
Product_80,142,2
Product_91,716,16
Product_944,182,8
Product_386,371,17
Product_888,860,18
Product_174,800,20
Product_21,228,12
Product_935,789,8
Product_226,995,17
Product_821,322,1
Product_378,450,15
Product_325,689,1
Product_581,680,19
Product_559,582,4
Product_422,148,2
Product_822,139,20
Product_441,407,6
Product_478,417,20
Product_87,583,2
Product_277,332,2
Product_815,894,15
Product_670,188,15
Product_290,418,4
Product_777,397,10
Product_629,427,20
Product_556,430,7
Product_115,473,1
Product_886,500,3
Product_932,368,7
Product_991,990,4
Product_515,802,10
Product_77,887,20
Product_665,819,12
Product_272,648,10
Product_207,753,11
Product_484,357,14
Product_365,1000,5
Product_326,249,6
Product_610,969,3
Product_641,233,11
Product_60,350,12
Product_137,123,11
Product_28,605,9
Product_837,225,15
Product_827,745,8
Product_771,485,11
Product_813,476,13
Product_769,792,3
Product_997,929,14
Product_313,830,13
Product_497,868,6
Product_99,464,6
Product_742,593,20
Product_368,592,1
Product_404,830,16
Product_832,728,16
Product_878,136,11
Product_101,557,7
Product_922,864,2
Product_178,524,13
Product_551,459,9
Product_646,956,14
Product_703,247,3
Product_562,414,15
Product_729,390,11
Product_520,633,14
Product_302,489,17
Product_634,178,14
Product_576,305,6
Product_804,801,16
Product_961,992,17
Product_517,831,15
Product_419,222,9
Product_397,771,13
Product_436,528,6
Product_754,973,12
Product_964,219,2
Product_977,664,18
Product_307,692,3
Product_710,858,16
Product_979,605,12
Product_717,109,1
Product_150,762,1
Product_203,683,11
Product_496,358,11
Product_999,515,10
Product_257,137,17
Product_552,114,3
Product_951,851,14
Product_940,219,12
Product_947,387,18
Product_990,927,4
Product_391,471,7
Product_420,144,10
Product_844,653,19
Product_904,463,12
Product_415,265,17
Product_447,165,12
Product_392,286,15
Product_680,753,2
Product_426,638,6
Product_8,532,8
Product_731,203,20
Product_715,973,19
Product_424,873,12
Product_659,531,15
Product_271,780,1
Product_574,477,4
Product_630,213,7
Product_498,840,17
Product_697,755,5
Product_892,438,7
Product_943,739,8
Product_542,320,12
Product_529,469,15
Product_578,791,17
Product_588,368,9
Product_948,369,10
Product_632,471,18
Product_537,586,19
Product_70,290,15
Product_791,566,16
Product_327,288,17
Product_259,767,5
Product_433,245,18
Product_626,927,16
Product_593,263,8
Product_575,940,6
Product_456,691,13
Product_126,202,20
Product_677,898,8
Product_772,284,5
Product_830,544,13
Product_247,893,12
Product_388,855,10
Product_84,425,11
Product_604,532,18
Product_656,592,3
Product_196,386,3
Product_746,220,10
Product_829,640,20
Product_147,810,18
Product_975,215,10
Product_416,408,3
Product_506,683,6
Product_382,337,7
Product_978,141,16
Product_152,993,16
Product_955,906,18
Product_4,184,14
Product_635,276,7
Product_613,560,1
Product_319,360,2
Product_736,580,17
Product_278,662,17
Product_763,786,17
Product_463,797,20
Product_530,737,10
Product_159,549,20
Product_461,216,18
Product_532,906,16
Product_831,994,5
Product_548,963,2
Product_470,751,1
Product_563,341,3
Product_621,434,6
Product_244,815,10
Product_296,825,10
Product_778,858,14
Product_303,310,5
Product_292,409,12
Product_370,473,12
Product_491,466,8
Product_1,894,12
Product_467,555,10
Product_825,868,16
Product_90,995,7
Product_758,324,15
Product_260,163,14
Product_18,556,9
Product_225,905,12
Product_489,654,20
Product_82,263,10
Product_572,801,18
Product_660,424,2
Product_336,296,6
Product_265,479,16
Product_446,402,13
Product_360,758,7
Product_396,373,4
Product_514,101,7
Product_519,567,15
Product_131,911,18
Product_462,767,16
Product_708,102,6
Product_453,336,16
Product_767,341,5
Product_280,733,7
Product_430,302,3
Product_450,829,6
Product_726,155,5
Product_329,240,19
Product_122,509,11
Product_83,670,10
Product_988,550,3
Product_195,267,7
Product_374,980,10
Product_443,755,20
Product_25,776,8
Product_766,999,12
Product_189,244,3
Product_920,433,7
Product_628,555,14
Product_669,315,9
Product_909,926,15
Product_24,587,16
Product_347,261,6
Product_750,512,19
Product_228,195,20
Product_770,816,3
Product_13,543,4
Product_431,761,12
Product_582,748,7
Product_814,130,15
Product_62,887,3
Product_505,532,9
Product_480,768,19
Product_591,367,14
Product_164,955,6
Product_732,397,7
Product_633,321,8
Product_458,833,17
Product_925,497,4
Product_133,520,3
Product_361,906,18
Product_227,153,13
Product_826,178,1
Product_855,738,3
Product_790,872,20
Product_600,483,14
Product_965,400,11
Product_69,820,9
Product_501,631,17
Product_246,753,19
Product_321,666,18
Product_871,770,19
Product_166,336,6
Product_76,412,15
Product_399,644,13
Product_108,790,5
Product_151,369,13
Product_340,937,16
Product_175,713,8
Product_234,653,7
Product_45,105,3
Product_15,350,3
Product_50,607,18
Product_652,440,15
Product_856,196,3
Product_835,663,9
Product_719,395,14
Product_279,580,2
Product_423,679,9
Product_34,616,20
Product_653,255,4
Product_946,186,11
Product_153,936,18
Product_199,632,3
Product_283,325,3
Product_644,226,5
Product_406,813,11
Product_123,882,14
Product_337,765,13
Product_606,697,16
Product_314,520,13
Product_561,231,10
Product_513,601,12
Product_476,467,10
Product_654,901,20
Product_721,731,9
Product_781,607,5
Product_671,273,19
Product_549,383,19
Product_583,459,4
Product_960,172,2
Product_209,314,14
Product_98,853,12
Product_162,419,5
Product_616,841,8
Product_739,327,7
Product_445,524,12
Product_251,933,3
Product_40,625,4
Product_338,896,9
Product_242,513,20
Product_747,691,17
Product_605,521,13
Product_996,538,17
Product_936,169,11
Product_939,544,18
Product_105,611,20
Product_184,754,16
Product_434,113,20
Product_952,153,12
Product_418,503,4
Product_712,573,8
Product_240,892,6
Product_842,894,4
Product_783,579,20
Product_2,104,4
Product_78,943,2
Product_75,449,5
Product_104,809,2
Product_258,503,8
Product_539,563,8
Product_523,318,17
Product_687,474,17
Product_727,635,13
Product_545,303,17
Product_730,912,6
Product_487,402,17
Product_32,801,16
Product_376,261,18
Product_353,431,4
Product_183,782,5
Product_367,792,9
Product_486,856,11
Product_698,938,5
Product_44,581,1
Product_328,544,8
Product_876,102,2
Product_624,180,5
Product_890,589,7
Product_664,601,2
Product_968,213,10
Product_465,912,4
Product_579,970,12
Product_816,155,13
Product_372,894,3
Product_173,674,10
Product_675,118,19
Product_700,189,2
Product_26,281,7
Product_873,736,16
Product_723,795,1
Product_23,484,15
Product_590,329,11
Product_261,134,16
Product_308,603,11
Product_237,237,3
Product_931,673,6
Product_957,919,18
Product_737,692,7
Product_787,361,2
Product_359,215,16
Product_933,678,20
Product_311,271,20
Product_786,529,8
Product_179,179,16
Product_142,129,11
Product_482,590,16
Product_640,625,17
Product_775,505,15
Product_229,242,15
Product_880,708,18
Product_188,314,18
Product_435,628,1
Product_553,471,12
Product_912,868,15
Product_958,238,5
Product_757,308,17
Product_262,685,12
Product_806,462,20
Product_197,132,12
Product_824,384,1
Product_682,753,8
Product_797,778,14
Product_573,867,8
Product_674,467,12
Product_474,838,2
Product_439,639,2
Product_36,209,3
Product_751,220,3
Product_893,204,9
Product_895,284,6
Product_12,734,13
Product_885,182,15
Product_745,974,19
Product_268,384,17
Product_974,755,20
